"id","phoneNumber","area","wasteGeneratorTypes","houseNumber","floorNumber","householdType","personName","contactNumber","numberOfPeople","buildingPhoto","createdAt","updatedAt","dryRFID","drySlno","wetRFID","wetSlno","lat","lng"
2443,"7000000011","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-11","2nd Floor","Owner","Ananya Kumar","8000000011","5",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000000B","W1-D-000011","E2004701B000000000000B","W1-W-000011",12.89752000,77.58900000
2444,"7000000012","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-12","3rd Floor","Tenant","Aadhya Kumar","8000000012","6",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000000C","W1-D-000012","E2004701B000000000000C","W1-W-000012",12.89752200,77.58915000
2445,"7000000013","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-13","Ground floor","Owner","Diya Kumar","8000000013","1",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000000D","W1-D-000013","E2004701B000000000000D","W1-W-000013",12.89752400,77.58930000
2446,"7000000014","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-14","1st Floor","Tenant","Ishita Kumar","8000000014","2",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000000E","W1-D-000014","E2004701B000000000000E","W1-W-000014",12.89752600,77.58945000
2447,"7000000015","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-15","2nd Floor","Owner","Kavya Kumar","8000000015","3",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000000F","W1-D-000015","E2004701B000000000000F","W1-W-000015",12.89752800,77.58960000
2448,"7000000016","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-16","3rd Floor","Tenant","Meera Kumar","8000000016","4",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000010","W1-D-000016","E2004701B0000000000010","W1-W-000016",12.89753000,77.58975000
2449,"7000000017","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-17","Ground floor","Owner","Sneha Kumar","8000000017","5",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000011","W1-D-000017","E2004701B0000000000011","W1-W-000017",12.89753200,77.58990000
2450,"7000000018","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-18","1st Floor","Tenant","Pooja Kumar","8000000018","6",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000012","W1-D-000018","E2004701B0000000000012","W1-W-000018",12.89753400,77.59005000
2451,"7000000019","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-19","2nd Floor","Owner","Riya Kumar","8000000019","1",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000013","W1-D-000019","E2004701B0000000000013","W1-W-000019",12.89753600,77.59020000
2452,"7000000020","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-20","3rd Floor","Tenant","Nandini Kumar","8000000020","2",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000014","W1-D-000020","E2004701B0000000000014","W1-W-000020",12.89753800,77.59035000
2453,"7000000021","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-21","Ground floor","Owner","Sanjay Kumar","8000000021","3",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000015","W1-D-000021","E2004701B0000000000015","W1-W-000021",12.89754000,77.59050000
2454,"7000000022","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-22","1st Floor","Tenant","Manoj Kumar","8000000022","4",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000016","W1-D-000022","E2004701B0000000000016","W1-W-000022",12.89754200,77.59065000
2455,"7000000023","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-23","2nd Floor","Owner","Suresh Kumar","8000000023","5",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000017","W1-D-000023","E2004701B0000000000017","W1-W-000023",12.89754400,77.59080000
2456,"7000000024","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-24","3rd Floor","Tenant","Mahesh Kumar","8000000024","6",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000018","W1-D-000024","E2004701B0000000000018","W1-W-000024",12.89754600,77.59095000
2457,"7000000025","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-25","Ground floor","Owner","Prakash Kumar","8000000025","1",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000019","W1-D-000025","E2004701B0000000000019","W1-W-000025",12.89754800,77.59110000
2458,"7000000026","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-26","1st Floor","Tenant","Ramesh Kumar","8000000026","2",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000001A","W1-D-000026","E2004701B000000000001A","W1-W-000026",12.89765000,77.58750200
2459,"7000000027","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-27","2nd Floor","Owner","Ganesh Kumar","8000000027","3",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000001B","W1-D-000027","E2004701B000000000001B","W1-W-000027",12.89765200,77.58765200
2460,"7000000028","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-28","3rd Floor","Tenant","Dinesh Kumar","8000000028","4",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000001C","W1-D-000028","E2004701B000000000001C","W1-W-000028",12.89765400,77.58780200
2461,"7000000029","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-29","Ground floor","Owner","Nikhil Kumar","8000000029","5",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000001D","W1-D-000029","E2004701B000000000001D","W1-W-000029",12.89765600,77.58795200
2462,"7000000030","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-30","1st Floor","Tenant","Varun Kumar","8000000030","6",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000001E","W1-D-000030","E2004701B000000000001E","W1-W-000030",12.89765800,77.58810200
2463,"7000000031","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-31","2nd Floor","Owner","Priya Kumar","8000000031","1",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000001F","W1-D-000031","E2004701B000000000001F","W1-W-000031",12.89766000,77.58825200
2464,"7000000032","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-32","3rd Floor","Tenant","Divya Kumar","8000000032","2",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000020","W1-D-000032","E2004701B0000000000020","W1-W-000032",12.89766200,77.58840200
2465,"7000000033","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-33","Ground floor","Owner","Swathi Kumar","8000000033","3",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000021","W1-D-000033","E2004701B0000000000021","W1-W-000033",12.89766400,77.58855200
2466,"7000000034","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-34","1st Floor","Tenant","Shreya Kumar","8000000034","4",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000022","W1-D-000034","E2004701B0000000000022","W1-W-000034",12.89766600,77.58870200
2467,"7000000035","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-35","2nd Floor","Owner","Keerthi Kumar","8000000035","5",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000023","W1-D-000035","E2004701B0000000000023","W1-W-000035",12.89766800,77.58885200
2468,"7000000036","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-36","3rd Floor","Tenant","Lakshmi Kumar","8000000036","6",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000024","W1-D-000036","E2004701B0000000000024","W1-W-000036",12.89767000,77.58900200
2469,"7000000037","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-37","Ground floor","Owner","Deepa Kumar","8000000037","1",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000025","W1-D-000037","E2004701B0000000000025","W1-W-000037",12.89767200,77.58915200
2470,"7000000038","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-38","1st Floor","Tenant","Asha Kumar","8000000038","2",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000026","W1-D-000038","E2004701B0000000000026","W1-W-000038",12.89767400,77.58930200
2471,"7000000039","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-39","2nd Floor","Owner","Pallavi Kumar","8000000039","3",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000027","W1-D-000039","E2004701B0000000000027","W1-W-000039",12.89767600,77.58945200
2472,"7000000040","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-40","3rd Floor","Tenant","Bhavana Kumar","8000000040","4",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000028","W1-D-000040","E2004701B0000000000028","W1-W-000040",12.89767800,77.58960200
2473,"7000000041","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-41","Ground floor","Owner","Aarav Sharma","8000000041","5",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000029","W1-D-000041","E2004701B0000000000029","W1-W-000041",12.89768000,77.58975200
2474,"7000000042","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-42","1st Floor","Tenant","Vihaan Sharma","8000000042","6",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000002A","W1-D-000042","E2004701B000000000002A","W1-W-000042",12.89768200,77.58990200
2475,"7000000043","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-43","2nd Floor","Owner","Aditya Sharma","8000000043","1",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000002B","W1-D-000043","E2004701B000000000002B","W1-W-000043",12.89768400,77.59005200
2476,"7000000044","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-44","3rd Floor","Tenant","Arjun Sharma","8000000044","2",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000002C","W1-D-000044","E2004701B000000000002C","W1-W-000044",12.89768600,77.59020200
2477,"7000000045","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-45","Ground floor","Owner","Rohan Sharma","8000000045","3",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000002D","W1-D-000045","E2004701B000000000002D","W1-W-000045",12.89768800,77.59035200
2478,"7000000046","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-46","1st Floor","Tenant","Rahul Sharma","8000000046","4",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000002E","W1-D-000046","E2004701B000000000002E","W1-W-000046",12.89769000,77.59050200
2479,"7000000047","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-47","2nd Floor","Owner","Karthik Sharma","8000000047","5",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000002F","W1-D-000047","E2004701B000000000002F","W1-W-000047",12.89769200,77.59065200
2480,"7000000048","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-48","3rd Floor","Tenant","Vikram Sharma","8000000048","6",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000030","W1-D-000048","E2004701B0000000000030","W1-W-000048",12.89769400,77.59080200
2481,"7000000049","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-49","Ground floor","Owner","Akash Sharma","8000000049","1",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000031","W1-D-000049","E2004701B0000000000031","W1-W-000049",12.89769600,77.59095200
2482,"7000000050","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-50","1st Floor","Tenant","Siddharth Sharma","8000000050","2",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000032","W1-D-000050","E2004701B0000000000032","W1-W-000050",12.89769800,77.59110200
2483,"7000000051","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-01","2nd Floor","Owner","Ananya Sharma","8000000051","3",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000033","W1-D-000051","E2004701B0000000000033","W1-W-000051",12.89780000,77.58750400
2484,"7000000052","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-02","3rd Floor","Tenant","Aadhya Sharma","8000000052","4",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000034","W1-D-000052","E2004701B0000000000034","W1-W-000052",12.89780200,77.58765400
2485,"7000000053","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-03","Ground floor","Owner","Diya Sharma","8000000053","5",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000035","W1-D-000053","E2004701B0000000000035","W1-W-000053",12.89780400,77.58780400
2486,"7000000054","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-04","1st Floor","Tenant","Ishita Sharma","8000000054","6",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000036","W1-D-000054","E2004701B0000000000036","W1-W-000054",12.89780600,77.58795400
2487,"7000000055","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-05","2nd Floor","Owner","Kavya Sharma","8000000055","1",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000037","W1-D-000055","E2004701B0000000000037","W1-W-000055",12.89780800,77.58810400
2488,"7000000056","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-06","3rd Floor","Tenant","Meera Sharma","8000000056","2",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000038","W1-D-000056","E2004701B0000000000038","W1-W-000056",12.89781000,77.58825400
2489,"7000000057","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-07","Ground floor","Owner","Sneha Sharma","8000000057","3",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000039","W1-D-000057","E2004701B0000000000039","W1-W-000057",12.89781200,77.58840400
2490,"7000000058","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-08","1st Floor","Tenant","Pooja Sharma","8000000058","4",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000003A","W1-D-000058","E2004701B000000000003A","W1-W-000058",12.89781400,77.58855400
2491,"7000000059","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-09","2nd Floor","Owner","Riya Sharma","8000000059","5",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000003B","W1-D-000059","E2004701B000000000003B","W1-W-000059",12.89781600,77.58870400
2492,"7000000060","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-10","3rd Floor","Tenant","Nandini Sharma","8000000060","6",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000003C","W1-D-000060","E2004701B000000000003C","W1-W-000060",12.89781800,77.58885400
2493,"7000000061","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-11","Ground floor","Owner","Sanjay Sharma","8000000061","1",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000003D","W1-D-000061","E2004701B000000000003D","W1-W-000061",12.89782000,77.58900400
2494,"7000000062","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-12","1st Floor","Tenant","Manoj Sharma","8000000062","2",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000003E","W1-D-000062","E2004701B000000000003E","W1-W-000062",12.89782200,77.58915400
2495,"7000000063","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-13","2nd Floor","Owner","Suresh Sharma","8000000063","3",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000003F","W1-D-000063","E2004701B000000000003F","W1-W-000063",12.89782400,77.58930400
2496,"7000000064","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-14","3rd Floor","Tenant","Mahesh Sharma","8000000064","4",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000040","W1-D-000064","E2004701B0000000000040","W1-W-000064",12.89782600,77.58945400
2497,"7000000065","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-15","Ground floor","Owner","Prakash Sharma","8000000065","5",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000041","W1-D-000065","E2004701B0000000000041","W1-W-000065",12.89782800,77.58960400
2498,"7000000066","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-16","1st Floor","Tenant","Ramesh Sharma","8000000066","6",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000042","W1-D-000066","E2004701B0000000000042","W1-W-000066",12.89783000,77.58975400
2499,"7000000067","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-17","2nd Floor","Owner","Ganesh Sharma","8000000067","1",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000043","W1-D-000067","E2004701B0000000000043","W1-W-000067",12.89783200,77.58990400
2500,"7000000068","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-18","3rd Floor","Tenant","Dinesh Sharma","8000000068","2",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000044","W1-D-000068","E2004701B0000000000044","W1-W-000068",12.89783400,77.59005400
2501,"7000000069","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-19","Ground floor","Owner","Nikhil Sharma","8000000069","3",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000045","W1-D-000069","E2004701B0000000000045","W1-W-000069",12.89783600,77.59020400
2502,"7000000070","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-20","1st Floor","Tenant","Varun Sharma","8000000070","4",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000046","W1-D-000070","E2004701B0000000000046","W1-W-000070",12.89783800,77.59035400
2503,"7000000071","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-21","2nd Floor","Owner","Priya Sharma","8000000071","5",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000047","W1-D-000071","E2004701B0000000000047","W1-W-000071",12.89784000,77.59050400
2504,"7000000072","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-22","3rd Floor","Tenant","Divya Sharma","8000000072","6",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000048","W1-D-000072","E2004701B0000000000048","W1-W-000072",12.89784200,77.59065400
2505,"7000000073","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-23","Ground floor","Owner","Swathi Sharma","8000000073","1",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000049","W1-D-000073","E2004701B0000000000049","W1-W-000073",12.89784400,77.59080400
2506,"7000000074","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-24","1st Floor","Tenant","Shreya Sharma","8000000074","2",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000004A","W1-D-000074","E2004701B000000000004A","W1-W-000074",12.89784600,77.59095400
2507,"7000000075","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-25","2nd Floor","Owner","Keerthi Sharma","8000000075","3",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000004B","W1-D-000075","E2004701B000000000004B","W1-W-000075",12.89784800,77.59110400
2508,"7000000076","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-26","3rd Floor","Tenant","Lakshmi Sharma","8000000076","4",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000004C","W1-D-000076","E2004701B000000000004C","W1-W-000076",12.89795000,77.58750600
2509,"7000000077","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-27","Ground floor","Owner","Deepa Sharma","8000000077","5",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000004D","W1-D-000077","E2004701B000000000004D","W1-W-000077",12.89795200,77.58765600
2510,"7000000078","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-28","1st Floor","Tenant","Asha Sharma","8000000078","6",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000004E","W1-D-000078","E2004701B000000000004E","W1-W-000078",12.89795400,77.58780600
2511,"7000000079","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-29","2nd Floor","Owner","Pallavi Sharma","8000000079","1",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A000000000004F","W1-D-000079","E2004701B000000000004F","W1-W-000079",12.89795600,77.58795600
2512,"7000000080","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-30","3rd Floor","Tenant","Bhavana Sharma","8000000080","2",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000050","W1-D-000080","E2004701B0000000000050","W1-W-000080",12.89795800,77.58810600
2513,"7000000081","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-31","Ground floor","Owner","Aarav Reddy","8000000081","3",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000051","W1-D-000081","E2004701B0000000000051","W1-W-000081",12.89796000,77.58825600
2514,"7000000082","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-32","1st Floor","Tenant","Vihaan Reddy","8000000082","4",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000052","W1-D-000082","E2004701B0000000000052","W1-W-000082",12.89796200,77.58840600
2515,"7000000083","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-33","2nd Floor","Owner","Aditya Reddy","8000000083","5",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000053","W1-D-000083","E2004701B0000000000053","W1-W-000083",12.89796400,77.58855600
2516,"7000000084","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-34","3rd Floor","Tenant","Arjun Reddy","8000000084","6",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000054","W1-D-000084","E2004701B0000000000054","W1-W-000084",12.89796600,77.58870600
2517,"7000000085","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-35","Ground floor","Owner","Rohan Reddy","8000000085","1",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000055","W1-D-000085","E2004701B0000000000055","W1-W-000085",12.89796800,77.58885600
2518,"7000000086","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-36","1st Floor","Tenant","Rahul Reddy","8000000086","2",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000056","W1-D-000086","E2004701B0000000000056","W1-W-000086",12.89797000,77.58900600
2519,"7000000087","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-37","2nd Floor","Owner","Karthik Reddy","8000000087","3",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000057","W1-D-000087","E2004701B0000000000057","W1-W-000087",12.89797200,77.58915600
2520,"7000000088","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","2-38","3rd Floor","Tenant","Vikram Reddy","8000000088","4",NULL,"2026-08-11 06:38:26.263","2026-08-11 06:38:26.263","E2004701A0000000000058","W1-D-000088","E2004701B0000000000058","W1-W-000088",12.89797400,77.58930600
